time,bid,ask,last,volume,time_msc,flags,volume_real,symbol
2024-11-15,1.40537,1.41059,1.4032200000000001,4609026012343477794,141069,11,0.0,USDCAD.pro
2024-11-18,1.40894,1.4102700000000001,1.40031,4608991109446365673,94176,11,0.0,USDCAD.pro
2024-11-19,1.40167,1.40368,1.3954900000000001,4608964042812605176,120982,11,0.0,USDCAD.pro
2024-11-20,1.39569,1.40146,1.3949799999999999,4608973095047856191,88898,11,0.0,USDCAD.pro
2024-11-21,1.39734,1.39784,1.39546,4608970077636105853,46008,11,0.0,USDCAD.pro
2024-11-15,0.88915,0.89079,0.88587,4606177215363188313,264731,4,0.0,USDCHF.pro
2024-11-18,0.8855,0.88875,0.88285,4606129026847175449,132799,4,0.0,USDCHF.pro
2024-11-19,0.883,0.88451,0.88013,4606122901951682225,143200,4,0.0,USDCHF.pro
2024-11-20,0.88125,0.88624,0.88125,4606138484406392927,106105,4,0.0,USDCHF.pro
2024-11-21,0.88408,0.88437,0.88207,4606135782246616505,64743,4,0.0,USDCHF.pro
2024-11-15,7.78088,7.78688,7.78083,4620448492078377583,38841,20,0.0,USDHKD.pro
2024-11-18,7.78449,7.78665,7.78202,4620447794020435341,37641,20,0.0,USDHKD.pro
2024-11-19,7.78281,7.78382,7.78048,4620447625135449314,30563,20,0.0,USDHKD.pro
2024-11-20,7.78277,7.78427,7.78112,4620447827797432546,30700,20,0.0,USDHKD.pro
2024-11-21,7.78214,7.7833,7.7805,4620448987474336594,18805,20,0.0,USDHKD.pro
2024-11-15,156.22,156.747,153.858,4639637890989639598,513201,6,0.0,USDJPY.pro
2024-11-18,154.42,155.358,153.835,4639644681573452743,465047,6,0.0,USDJPY.pro
2024-11-19,154.616,154.799,153.273,4639646159317080474,497005,6,0.0,USDJPY.pro
2024-11-20,154.65,155.885,154.524,4639672793886751719,346805,6,0.0,USDJPY.pro
2024-11-21,155.32,155.402,154.076,4639637292855314088,252191,6,0.0,USDJPY.pro
2024-11-15,1.34352,1.34732,1.33931,4608712426701423986,187751,11,0.0,USDSGD.pro
2024-11-18,1.34024,1.34514,1.33738,4608701843242299666,157639,11,0.0,USDSGD.pro
2024-11-19,1.33719,1.34122,1.33597,4608695493166825074,197913,11,0.0,USDSGD.pro
2024-11-20,1.33691,1.34488,1.33619,4608720488144756980,128186,11,0.0,USDSGD.pro
